district,active,confirmed,recovered,deceased
Ahmadnagar,17,42,23,2
Yavatmal,69,79,10,0
Washim,1,2,1,0
Solapur,93,99,0,6
Sindhudurg,1,2,1,0
Satara,21,32,9,2
Sangli,3,29,25,1
Ratnagiri,2,8,5,1
Raigarh,44,71,24,3
Parbhani,1,2,1,0
Palghar,119,169,46,4
Osmanabad,0,3,3,0
Nashik,179,197,6,12
Nandurbar,10,11,0,1
Nanded,3,3,0,0
Nagpur,100,139,37,2
Latur,3,12,8,1
Kolhapur,10,14,4,0
Buldana,3,21,17,1
Jalgaon,30,40,1,9
Hingoli,14,15,1,0
Gondiya,0,1,1,0
Dhule,22,25,0,3
Chandrapur,0,2,2,0
Buldana,3,21,17,1
Bid,0,1,1,0
Bhandara,1,1,0,0
Aurangabad,102,131,22,7
Amravati,17,28,4,7
Akola,30,39,8,1
Ahmadnagar,17,42,23,2
Mumbai,5679,7061,1092,290
Thane,755,943,172,16
Pune,912,1248,248,88
